К-са ливерная Неженка паштетная н/о мод/ат;К-са ливерная Неженка паштетная н/о мод/ат
Па-Траецку ТМ СусМаё Вак. упак. Основное;Па-Траецку ТМ СусМаё Вак. упак. Основное
Берлинки фирменные в Вак.Уп/Кор 500;Берлинки фирменные в Вак.Уп/Кор 500
Варшавская новая в/с М/атП/уКор 340;Варшавская новая в/с М/атП/уКор 340
Радзив нов ТМ Дионис Вак.Уп/Кор 280;Радзив нов ТМ Дионис Вак.Уп/Кор 280
Гармония Суседскi ма ВакСерв.на 150;Гармония Суседскi ма ВакСерв.на 150
К-са ливерная Неженка паштетная п/а;К-са ливерная Неженка паштетная п/а
Классическая новая в П/а короб 650;Классическая новая в П/а короб 650
Швейцарская с сыром Вак.Уп/Кор 480;Швейцарская с сыром Вак.Уп/Кор 480
Сервелат с Окороком Вак.Уп/Кор 270;Сервелат с Окороком Вак.Уп/Кор 270
Сер-т Царская охота Вак.Уп/Кор 270;Сер-т Царская охота Вак.Уп/Кор 270
К-са с/к Наслаж прем С/н м/а/ко 90;К-са с/к Наслаж прем С/н м/а/ко 90
Изд кол Медовая прем С/н м/а/ко 90;Изд кол Медовая прем С/н м/а/ко 90
Балт нов Дионис в/с с/в вак/кус/кр;Балт нов Дионис в/с с/в вак/кус/кр
"Пр-ты из свин. с/к ""Свиная столичная""";"Пр-ты из свин. с/к ""Свиная столичная"""
Мортад оригинал в/с П/а короб 650;Мортад оригинал в/с П/а короб 650
Сосис. Сливочные в/с Модиф. атм 330;Сосис. Сливочные в/с Модиф. атм 330
Сос. Георгиевские в/ Мод.ат.Кор 390;Сос. Георгиевские в/ Мод.ат.Кор 390
Молочные элитные Сус Вак. упак. 350;Молочные элитные Сус Вак. упак. 350
Любимые ТМ I`m Happy Вак. упак. 350;Любимые ТМ I`m Happy Вак. упак. 350
Па-Траецку ТМ СусМаё Вак. упак. 300;Па-Траецку ТМ СусМаё Вак. упак. 300
Колобки с сыром вс М/аЖ/плКор 430;Колобки с сыром вс М/аЖ/плКор 430
Итальянские с моцаре Вак. упак. 260;Итальянские с моцаре Вак. упак. 260
С-т Радзивил. новый Вак.Уп/Кор 280;С-т Радзивил. новый Вак.Уп/Кор 280
Сервелат Бергамо в/с Вак. упак. 330;Сервелат Бергамо в/с Вак. упак. 330
К-са Восточная с/в Вак.Уп/Кор 200;К-са Восточная с/в Вак.Уп/Кор 200
Полендвица Домашняя С/н м/а/ко 90;Полендвица Домашняя С/н м/а/ко 90
Тартар из говядины вак/подарК 220;Тартар из говядины вак/подарК 220
Славянская в/с П/а короб основная;Славянская в/с П/а короб основная
Сос. Слонимские Перв Вак. упак. 350;Сос. Слонимские Перв Вак. упак. 350
Молочные элит с сыр Вак. упак. 350;Молочные элит с сыр Вак. упак. 350
Сард. Молочные в/с Вак.Уп/Кор 760;Сард. Молочные в/с Вак.Уп/Кор 760
Сервелат Верона в/с Вак. упак. 330;Сервелат Верона в/с Вак. упак. 330
Пр-т с/к Миланский С/н м/а/ко 90;Пр-т с/к Миланский С/н м/а/ко 90
Пр-т с/к Испанский С/н м/а/ко 90;Пр-т с/к Испанский С/н м/а/ко 90
Вкусная с сальцем вс ТекВакп/нк;Вкусная с сальцем вс ТекВакп/нк
Вкусная с сальцем вс Синюга м/а;Вкусная с сальцем вс Синюга м/а
Берлинки с сыром Вак.Уп/Кор 500;Берлинки с сыром Вак.Уп/Кор 500
Сос.мяс Карапульки в Груп м/атм;Сос.мяс Карапульки в Груп м/атм
Георгиевская в/с Сус Мод/ат п/у;Георгиевская в/с Сус Мод/ат п/у
Домашняя с печенью в ВакПотр/уп;Домашняя с печенью в ВакПотр/уп
К-ски Мюнхенские Вак.Уп/Кор 260;К-ски Мюнхенские Вак.Уп/Кор 260
Сервелат с беконом в Вак/порцКо;Сервелат с беконом в Вак/порцКо
К-са с/к Австрийская Вак.Уп/Кор;К-са с/к Австрийская Вак.Уп/Кор
К-са с/к Наслаж прем вак/кус/кр;К-са с/к Наслаж прем вак/кус/кр
Венецианская элит вс Вак/порцКо;Венецианская элит вс Вак/порцКо
К-ка Валенсия в/с С/н м/а/ко 90;К-ка Валенсия в/с С/н м/а/ко 90
К-са Деревенская с/в Гофрокороб;К-са Деревенская с/в Гофрокороб
К-са Ривьера в/с Вак.Уп/Кор 180;К-са Ривьера в/с Вак.Уп/Кор 180
Филей К празднику кв П/упак/вак;Филей К празднику кв П/упак/вак
Ветчина Гармония к/в П/упак/вак;Ветчина Гармония к/в П/упак/вак
П-т к/в Бочок Беконн П/упак/вак;П-т к/в Бочок Беконн П/упак/вак
Кумпячок Классически ВакП/упКор;Кумпячок Классически ВакП/упКор
Ветчина Аппетитная к ВакП/упКор;Ветчина Аппетитная к ВакП/упКор
Сальтисон Деревенски Текс.мод.а;Сальтисон Деревенски Текс.мод.а
Докторская кат А П/а короб 650;Докторская кат А П/а короб 650
Советская новая в/с  н/о мод/ат;Советская новая в/с  н/о мод/ат
Ветчинная с телятино Модиф. атм;Ветчинная с телятино Модиф. атм
Со сливками в/с Вак.Уп/Кор 480;Со сливками в/с Вак.Уп/Кор 480
Сос. Терияки в/с Вак.Уп/Кор 520;Сос. Терияки в/с Вак.Уп/Кор 520
Со сливками в/с Мод.ат.Кор 430;Со сливками в/с Мод.ат.Кор 430
Колобки с сыром в/с Груп м/атм;Колобки с сыром в/с Груп м/атм
Георгиевская в/с Сус Модиф. атм;Георгиевская в/с Сус Модиф. атм
К-са Мясной барон вс Газ.среда;К-са Мясной барон вс Газ.среда
Сер-т Европейский в/ Груп м/атм;Сер-т Европейский в/ Груп м/атм
Сер-т Баварский в/с Вак/порцКо;Сер-т Баварский в/с Вак/порцКо
К.и.в/к Георгиевская Модиф. атм;К.и.в/к Георгиевская Модиф. атм
К-са Свиная с/к в/с Вак.Уп/Кор;К-са Свиная с/к в/с Вак.Уп/Кор
Балт нов в/с с/в С/н м/а/ко 90;Балт нов в/с с/в С/н м/а/ко 90
К-са Княжица с/в С/н м/а/ко 90;К-са Княжица с/в С/н м/а/ко 90
Княжица с брусникой Вак.Уп/Кор;Княжица с брусникой Вак.Уп/Кор
Бабушкин гостинец н Гофрокороб;Бабушкин гостинец н Гофрокороб
Карпаччо из вырезки ВакП/упКор;Карпаччо из вырезки ВакП/упКор
Ребрышки Классически Модиф. атм;Ребрышки Классически Модиф. атм
Славянский с грибами Модиф. атм;Славянский с грибами Модиф. атм
Тирольские в/с Мод.ат.Кор 570;Тирольские в/с Мод.ат.Кор 570
Сард. Домашние по ТУ Модиф. атм;Сард. Домашние по ТУ Модиф. атм
Шпикачки Купеческие Модиф. атм;Шпикачки Купеческие Модиф. атм
Сард. С телятиной вс Модиф. атм;Сард. С телятиной вс Модиф. атм
Копченая на дровах М/атП/уКор;Копченая на дровах М/атП/уКор
П/к К-ка Обеденная Мод/ат п/у;П/к К-ка Обеденная Мод/ат п/у
К-са п/к Краковская Газ.среда;К-са п/к Краковская Газ.среда
К-са Баварская с/к Вак.Уп/Кор;К-са Баварская с/к Вак.Уп/Кор
Пр-т с/к Миланский Вак/порцКо;Пр-т с/к Миланский Вак/порцКо
Пр-т с/к Испанский Вак/порцКо;Пр-т с/к Испанский Вак/порцКо
Бекон Классический Вак/порцКо;Бекон Классический Вак/порцКо
Филей К празднику кв Вак. упак.;Филей К празднику кв Вак. упак.
Ветчина Гармония к/в Вак. упак.;Ветчина Гармония к/в Вак. упак.
Балычок Слонимский П/упак/вак;Балычок Слонимский П/упак/вак
П-т к/в Бочок Беконн Вак. упак.;П-т к/в Бочок Беконн Вак. упак.
