pozitsiya;naimenovanie;oformlenie;massa;ostatok;rezerv;active
1;Чесночная м/р Груп м/атм;Груп м/атм;;-60;0;1
2;Хуторская 2с;;;-9;0;1
3;Сельская 2с Груп м/атм;Груп м/атм;;-25;0;1
4;Докторская кат А Модиф. атм;Модиф. атм;;0;0;1
5;Докторская кат А П/а короб 650;П/а короб;650;0;0;1
6;К-са Мортаделла в/с;;;-25;0;1
7;М500;;500;-28;0;1
8;М600;;650;-6;0;1
9;МТекст.Мод.а;Текс.мод.а;;-20;0;1
10;Советская в/с Короба;Короба;;0;0;1
11;Советская новая в/с  н/о мод/ат;н/о мод/ат;;-2;0;1
12;К-са Аппетит нов в/с п/а;п/а;;-13;0;1
13;Колбаса Майонез в/с;;;0;0;1
14;Майонез500;;500;0;0;1
15;Сливочная в/с  400;;400;0;0;1
16;Прима нов в/с основная;;;-11;0;1
17;Прима нов в/с  500;;500;0;0;1
18;Мортаделла прем СусМ основная;;;0;0;1
19;Мортаделла прем СусМ  400;;400;0;0;1
20;Молочная В/С;;;-15;0;1
21;Мол500;;500;-8;0;1
22;Мол650;;650;0;0;1
23;Мортаделла по-Слоним  650;;650;0;0;1
24;Филейная новая в/с Модиф. атм;Модиф. атм;;0;0;1
25;Молочная со шпиком  500;;500;0;0;1
26;Ветчинная с телятино Модиф. атм;Модиф. атм;;0;0;1
27;Вкусная с сальцем вс ТекВакп/нк;Синюга м/а;;0;0;1
28;Вкусная с сальцем вс Синюга м/а;Синюга м/а;;0;0;1
29;Славянская в/с П/а короб основная;П/а короб;;0;0;1
30;Славянская в/с П/а короб 500;П/а короб;500;0;0;1
31;Мортаделла с сальцем основ;;;-22;0;1
32;Мортаделла с сальцем  500;;500;-6;0;1
33;Со сливками в/с Вак.Уп/Кор 480;Вак.Уп/Кор;480;0;0;1
34;С сальцем в/с Целлоф/мод;Целлоф/мод;;0;0;1
35;Сочная в/с  140;;140;0;0;1
36;Сочная с сальцем в/с;;;0;0;1
37;Мортад оригинал в/с п/а основ;п/а;;0;0;1
38;Мортад оригинал в/с П/а короб 650;П/а короб;650;-5;0;1
39;Классическая новая в основ;;;0;0;1
40;Классическая новая в П/а короб 650;П/а короб;650;0;0;1
41;Мортаделла нов ТМ СМ основ;;650;0;0;1
42;Мортаделла нов ТМ СМ  650;;650;0;0;1
43;Сосис. Сливочные в/с Модиф. атм 330;Модиф. атм;330;0;0;1
44;С-ки Молочн премиум;;;0;0;1
45;Волковыс нов с сыр Газ.среда;Газ.среда;;0;0;1
46;Берлинки в/с основная;;;0;0;1
47;Берлинки в/с Вак.Уп/Кор 500;Вак.Уп/Кор;500;0;0;1
48;Молочные в/с Бел хат;Вак.Уп/Кор;500;0;0;1
49;Свиные в/с Модиф. Атм основ;Модиф. атм;;-10;0;1
50;Свиные в/с ВакПотр/уп 300;ВакПотр/уп;300;-10;0;1
51;Сос. Терияки в/с Вак.Уп/Кор 520;Вак.Уп/Кор;520;0;0;1
52;Сос. Слонимские Перв Вак. упак. 350;Вак. упак.;350;0;0;1
53;Берлинки с сыром Вак.Уп/Кор 500;Вак.Уп/Кор;500;-10;0;1
54;Сос. Георгиевские в/ Мод.ат.Кор 390;Мод.ат.Кор;390;0;0;1
55;Молочные элитные Сус основ;;;0;0;1
56;Молочные элитные Сус Вак. упак. 350;Вак. упак.;350;-5;0;1
57;Тирольские в/с Мод.ат.Кор 570;Мод.ат.Кор;570;0;0;1
58;Берлинки фирменные в Вак.Уп/Кор 500;Вак.Уп/Кор;500;0;0;1
59;Сос.мяс Карапульки в Груп м/атм;Груп м/атм;;0;0;1
60;Молочные элит с сыр Вак. упак. 350;Вак. упак.;350;0;0;1
61;Со сливками в/с Мод.ат.Кор 430;Мод.ат.Кор;430;0;0;1
62;Любимые ТМ I`m Happy Вак. упак. 350;Вак. упак.;350;0;0;1
63;Ветчинные в/с Вак.Уп/Кор 300;Вак.Уп/Кор;300;0;0;1
64;Ветчинные в/с Модиф. атм;Модиф. атм;;0;0;1
65;Сос. Сочные в/с Модиф. атм;Модиф. атм;;0;0;1
66;Па-Траецку ТМ СусМаё Вак. упак. 300;Вак. упак.;300;0;0;1
67;Па-Траецку ТМ СусМаё Вак. упак. Основное;;;0;0;1
68;Фитнес в/с;Вак. упак.;300;0;0;1
69;Сард. Свиные в/с Модиф. атм;Модиф. атм;;-10;0;1
70;Сард. Молочные в/с Вак.Уп/Кор 760;Вак.Уп/Кор;760;0;0;1
71;Сард. Домашние по ТУ Модиф. атм;Модиф. атм;;-23;0;1
72;Аппетитные в/с М/атП/уКор;М/атП/уКор;;-53;0;1
73;Шпикачки Купеческие Модиф. атм;Модиф. атм;;-1;0;1
74;Колобки с сыром в/с Груп м/атм;Груп м/атм;;0;0;1
75;Сард. С телятиной вс Модиф. атм;Модиф. атм;;0;0;1
76;Колобки с сыром вс М/аЖ/плКор 430;М/аЖ/плКор;430;0;0;1
77;Тирольские в/с Груп м/атм;Груп м/атм;;-3;0;1
78;Георгиевская в/с Сус Модиф. атм;Модиф. атм;;0;0;1
79;Георгиевская в/с Сус Мод/ат п/у;Мод/ат п/у;;0;0;1
80;Дымница в/с Модиф. атм;Модиф. атм;;0;0;1
81;Итальянские в/с Вак. упак. 250;Вак. упак.;250;-20;0;1
82;Итальянские с моцаре Вак. упак. 260;Вак. упак.;260;-30;0;1
83;Варшавская новая в/с М/атП/уКор 340;М/атП/уКор;340;0;0;1
84;Домашняя с печенью в ВакПотр/уп;ВакПотр/уп;;-2;0;1
85;Копченая на дровах Модиф. атм;Модиф. атм;;-4;0;1
86;Копченая на дровах М/атП/уКор;М/атП/уКор;;0;0;1
87;К-ски Мюнхенские Вак.Уп/Кор 260;Вак.Уп/Кор;260;0;0;1
88;К-са п/к Домашняя 1с Модиф. атм;Модиф. атм;;-9;0;1
89;П/к К-ка Обеденная Модиф. атм;Модиф. атм;;-12;0;1
90;П/к К-ка Обеденная Мод/ат п/у;Мод/ат п/у;;0;0;1
91;Казацкая б/с Модиф. атм;Модиф. атм;;-6;0;1
92;Курортная б/с Груп м/атм;Груп м/атм;;0;0;1
93;Панская б/с М/атП/уКор;М/атП/уКор;;0;0;1
94;К-са п/к Краковская Газ.среда;Газ.среда;;0;0;1
95;С-т Радзивил. Новый основ;;;0;0;1
96;С-т Радзивил. новый Вак.Уп/Кор 280;Вак.Уп/Кор;280;0;0;1
97;К-са Мясной барон вс Газ.среда;Газ.среда;;0;0;1
98;Сер-т Барбадос в/с Модиф. атм;Модиф. атм;;0;0;1
99;Радзивиловский Очень;;;0;0;1
100;Швейцарская с сыром Вак.Уп/Кор 480;Вак.Уп/Кор;480;0;0;1
101;Сер-т Европейский в/ Груп м/атм;Груп м/атм;;-4;0;1
102;К-са Брестская в/с Модиф. атм;Модиф. атм;;0;0;1
103;Сервелат с беконом в Вак/порцКо;Вак/порцКо;;0;0;1
104;Сервелат Верона в/с Вак. упак. 330;Вак. упак.;330;0;0;1
105;Сервелат Бергамо в/с Вак. упак. 330;Вак. упак.;330;-15;0;1
106;Сервелат с Окороком Вак.Уп/Кор 270;Вак.Уп/Кор;270;0;0;1
107;Сер-т Царская охота Вак.Уп/Кор 270;Вак.Уп/Кор;270;-30;0;1
108;Сер-т Австрийский в/;Вак.порцКо;;0;0;1
109;Сер-т Баварский в/с Вак/порцКо;Вак/порцКо;;0;0;1
110;Бусидо порк в/с РБ;Вак/порцКо;;0;0;1
111;Сервелат Ореховый 1с;;;0;0;1
112;Говяжья в/с Вак.Уп/Кор 370;Вак.Уп/Кор;370;0;0;1
113;К.и.в/к Георгиевская Модиф. атм;Модиф. атм;;0;0;1
114;Радзив нов ТМ Дионис Вак.Уп/Кор 280;Вак.Уп/Кор;280;-12;0;1
115;Балыковая в/с Вак/порцКо 270;Вак/порцКо;270;-30;0;1
116;Набор Топ Мод.ат.Кор 90;Мод.ат.Кор;90;0;0;1
117;Турино в/с Мод.ат.Кор 180;Мод.ат.Кор;180;0;0;1
118;Ла-Манча в/с основная;Вак.упак;;0;0;1
119;Ла-Манча в/с Мод.ат.Кор 180;Мод.ат.Кор;180;0;0;1
120;Ла-Манча в/с С/н м/а/ко 90;С/н м/а/ко;90;0;0;1
121;К-са Восточная с/в Вак.Уп/Кор 200;Вак.Уп/Кор;200;0;0;1
122;Набор Трио Мод.ат.Кор 90;Мод.ат.Кор;90;0;0;1
123;К-са Свиная с/к в/с Вак.Уп/Кор;Вак.Уп/Кор;;0;0;1
124;К-са с/к Австрийская Вак.Уп/Кор;Вак.Уп/Кор;;0;0;1
125;К-са с/к Наслаж прем С/н м/а/ко 90;С/н м/а/ко;90;0;0;1
126;К-са с/к Наслаж прем вак/кус/кр;вак/кус/кр;;0;0;1
127;Венецианская элит вс Вак/порцКо;Вак/порцКо;;0;0;1
128;К-са Баварская с/к Вак.Уп/Кор;Вак.Уп/Кор;;-6;0;1
129;Изд кол Медовая прем основ;;;-6;0;1
130;Изд кол Медовая прем С/н м/а/ко 90;С/н м/а/ко;90;0;0;1
131;К-ка Валенсия в/с Вак.Уп/Кор;Вак.Уп/Кор;;0;0;1
132;К-ка Валенсия в/с С/н м/а/ко 90;С/н м/а/ко;90;-40;0;1
133;Медовая I`m Happy вс;;;0;0;1
134;Колбаска тещина в/с;;;-9;0;1
135;К-са Княжеская;Гофрокороб;;-4;0;1
136;Балт нов в/с с/в Вак.Уп/Кор;Вак.Уп/Кор;;0;0;1
137;Балт нов в/с с/в С/н м/а/ко 90;С/н м/а/ко;90;-20;0;1
138;К-са Деревенская с/в Гофрокороб;Гофрокороб;;-10;0;1
139;Валенсия СМ С/н м/а/ко 90;С/н м/а/ко;90;-20;0;1
140;Альпийская в/с Вак.Уп/Кор;Вак.Уп/Кор;;0;0;1
141;К-са Еврейская Вак.Уп/Кор;Вак.Уп/Кор;;0;0;1
142;К-са Княжица с/в Вак.Уп/Кор;Вак.Уп/Кор;;0;0;1
143;К-са Княжица с/в С/н м/а/ко 90;С/н м/а/ко;90;-20;0;1
144;Княжица с брусникой Вак.Уп/Кор;Вак.Уп/Кор;;0;0;1
145;К-са Ривьера в/с Вак.Уп/Кор 180;Вак.Уп/Кор;180;0;0;1
146;Балт нов Дионис в/с с/в вак/кус/кр;вак/кус/кр;;-4;0;1
147;Пр-т с/к Фемино Короба;Короба;;0;0;1
148;Пр-т с/к Фемино Вак.Уп/Кор;Вак.Уп/Кор;;0;0;1
149;Пр-т с/к Миланский Вак/порцКо;Вак/порцКо;;0;0;1
150;Пр-т с/к Миланский С/н м/а/ко 90;С/н м/а/ко;90;-40;0;1
151;Пр-т с/к Испанский Вак/порцКо;Вак/порцКо;;0;0;1
152;Пр-т с/к Испанский С/н м/а/ко 90;С/н м/а/ко;90;0;0;1
153;Фемино с сыром основная;ВакПорц.на;;-4;0;1
154;Фемино с сыром С/н м/а/ко 90;С/н м/а/ко;90;0;0;1
155;Сальчичон с/к Вак.Уп/Кор;Вак.Уп/Кор;;0;0;1
156;Медвежье ушко;;;29;1;1
157;Филей Праздничн с/к Вак. упак.;Вак. упак.;;0;0;1
158;Бабушкин гостинец н Гофрокороб;Гофрокороб;;0;0;1
