pozitsiya;naimenovanie;oformlenie;massa;ostatok;rezerv
1;Чесночная м/р;Груп м/атм;;40;0
2;Хуторская 2с;;;0;0
3;Сельская 2с;Груп м/атм;;0;0
4;Докторская кат А;Модиф. атм;;7;0
5;Докторская кат А;П/а короб;650;8;0
6;К-са Мортаделла в/с;;;3;0
7;К-са Мортаделла в/с;;500;0;0
8;К-са Мортаделла в/с;;650;3;0
9;К-са Мортаделла в/с;Текс.мод.а;;0;0
10;Советская в/с;Короба;;0;0
11;Советская новая в/с;н/о мод/ат;;0;0
12;К-са Аппетит нов в/с;п/а;;0;0
13;К-са Майонез в/с;;;0;0
14;К-са Майонез в/с;;500;0;0
15;Сливочная в/с;;400;0;0
16;Прима нов в/с;;;0;0
17;Прима нов в/с;;500;8;0
18;Мортаделла прем СусМ;;;0;0
19;Мортаделла прем СусМ;;400;д;0
20;Молочная в/с;;;0;0
21;Молочная в/с;;500;0;0
22;Молочная в/с;;650;0;0
23;Мортаделла по-Слоним;;650;0;0
24;Филейная новая в/с;Модиф. атм;;0;0
25;Молочная со шпиком;;500;0;0
26;Ветчинная с телятино;Модиф. атм;;0;0
27;Вкусная с сальцем вс;Синюга м/а;;0;0
28;Славянская в/с;П/а короб;;0;0
29;Славянская в/с;П/а короб;500;0;0
30;Мортаделла с сальцем;;;0;0
31;Мортаделла с сальцем;;500;0;0
32;Со сливками в/с;Вак.Уп/Кор;480;0;0
33;С сальцем в/с;Целлоф/мод;;0;0
34;Сочная в/с;;140;0;0
35;Сочная с сальцем в/с;;;0;0
36;Мортад оригинал в/с;п/а;;0;0
37;Мортад оригинал в/с;П/а короб;650;0;0
38;Классическая новая в;;;0;0
39;Классическая новая в;П/а короб;650;0;0
40;Мортаделла нов ТМ СМ;;650;0;0
41;Сосис. Сливочные в/с;Модиф. атм;330;0;0
42;С-ки Молочн премиум;;;0;0
43;Волковыс нов с сыр;Газ.среда;;0;0
44;Берлинки в/с;;;0;0
45;Берлинки в/с;Вак.Уп/Кор;500;0;0
46;Свиные в/с;Модиф. атм;;0;0
47;Свиные в/с;ВакПотр/уп;300;0;0
48;Сос. Терияки в/с;Вак.Уп/Кор;520;0;0
49;Сос. Слонимские Перв;Вак. упак.;350;0;0
50;Берлинки с сыром;Вак.Уп/Кор;500;0;0
51;Сос. Георгиевские в/;Мод.ат.Кор;390;0;0
52;Молочные элитные Сус;;;0;0
53;Молочные элитные Сус;Вак. упак.;350;0;0
54;Тирольские в/с;Мод.ат.Кор;570;0;0
55;Берлинки фирменные в;Вак.Уп/Кор;500;0;0
56;Сос.мяс Карапульки в;Груп м/атм;;0;0
57;Молочные элит с сыр;Вак. упак.;350;0;0
58;Со сливками в/с;Мод.ат.Кор;430;0;0
59;Классические Тое сам;Вак.Уп/Кор;350;0;0
60;Любимые ТМ I`m Happy;Вак. упак.;350;0;0
61;Ветчинные в/с;Вак.Уп/Кор;300;0;0
62;Ветчинные в/с;Модиф. атм;;0;0
63;Сос. Сочные в/с;Модиф. атм;;0;0
64;Па-Траецку ТМ СусМаё;Вак. упак.;300;0;0
65;Сард. Свиные в/с;Модиф. атм;;0;0
66;Сард. Молочные в/с;Вак.Уп/Кор;760;0;0
67;Сард. Домашние по ТУ;Модиф. атм;;0;0
68;Аппетитные в/с;М/атП/уКор;;0;0
69;Шпикачки Купеческие;Модиф. атм;;0;0
70;Колобки с сыром в/с;Груп м/атм;;0;0
71;Сард. С телятиной вс;Модиф. атм;;0;0
72;Колобки с сыром вс;М/аЖ/плКор;430;0;0
73;Тирольские в/с;Груп м/атм;;0;0
74;Георгиевская в/с Сус;Модиф. атм;;0;0
75;Георгиевская в/с Сус;Мод/ат п/у;;0;0
76;Дымница в/с;Модиф. атм;;0;0
77;Итальянские в/с;Вак. упак.;250;0;0
78;Итальянские с моцаре;Вак. упак.;260;0;0
79;Варшавская новая в/с;М/атП/уКор;340;0;0
80;Домашняя с печенью в;ВакПотр/уп;;0;0
81;Копченая на дровах;Модиф. атм;;0;0
82;Копченая на дровах;М/атП/уКор;;0;0
83;К-ски Мюнхенские;Вак.Уп/Кор;260;0;0
84;К-са Домашняя 1с;Модиф. атм;;0;0
85;П/к К-ка Обеденная;Модиф. атм;;0;0
86;П/к К-ка Обеденная;Мод/ат п/у;;0;0
87;Казацкая б/с;Модиф. атм;;0;0
88;Курортная б/с;Груп м/атм;;0;0
89;Панская б/с;М/атП/уКор;;0;0
90;К-са п/к Краковская;Газ.среда;;0;0
91;С-т Радзивил. новый;;;0;0
92;С-т Радзивил. новый;Вак.Уп/Кор;280;0;0
93;К-са Мясной барон вс;Газ.среда;;0;0
94;Сер-т Барбадос в/с;Модиф. атм;;0;0
95;Радзивиловский Очень;;;0;0
96;Швейцарская с сыром;Вак.Уп/Кор;480;0;0
97;Сер-т Европейский в/;Груп м/атм;;0;0
98;К-са Брестская в/с;Модиф. атм;;0;0
99;Сервелат с беконом в;Вак/порцКо;;0;0
100;Сервелат Верона в/с;Вак. упак.;330;0;0
101;Сервелат Бергамо в/с;Вак. упак.;330;0;0
102;Сервелат с Окороком;Вак.Уп/Кор;270;0;0
103;Сер-т Царская охота;Вак.Уп/Кор;270;0;0
104;Сер-т Баварский в/с;Вак/порцКо;;0;0
105;Сервелат Ореховый 1с;;;0;0
106;Говяжья в/с;Вак.Уп/Кор;370;0;0
107;К.и.в/к Георгиевская;Модиф. атм;;0;0
108;Радзив нов ТМ Дионис;Вак.Уп/Кор;280;0;0
109;Балыковая в/с;Вак/порцКо;270;0;0
110;Набор Топ;Мод.ат.Кор;90;0;0
111;Турино в/с;Мод.ат.Кор;180;0;0
112;Ла-Манча в/с;Мод.ат.Кор;180;0;0
113;Ла-Манча в/с;С/н м/а/ко;90;0;0
114;К-са Восточная с/в;Вак.Уп/Кор;200;0;0
115;Тайская с/в;Вак.Уп/Кор;;0;0
116;Набор Трио;Мод.ат.Кор;90;0;0
117;К-са Свиная с/к в/с;Вак.Уп/Кор;;0;0
118;К-са с/к Австрийская;Вак.Уп/Кор;;0;0
119;К-са с/к Наслаж прем;С/н м/а/ко;90;0;0
120;К-са с/к Наслаж прем;вак/кус/кр;;0;0
121;Венецианская элит вс;Вак/порцКо;;0;0
122;К-са Баварская с/к;Вак.Уп/Кор;;0;0
123;Сицилия в/с с/к;;;0;0
124;Изд кол Медовая прем;;;0;0
125;Изд кол Медовая прем;;;0;0
126;Изд кол Медовая прем;Вак.Уп/Кор;;0;0
127;Изд кол Медовая прем;С/н м/а/ко;90;0;0
128;Изд кол Медовая прем;вак/кус/кр;;0;0
129;К-ка Валенсия в/с;Вак.Уп/Кор;;0;0
130;К-ка Валенсия в/с;С/н м/а/ко;90;0;0
131;К-ка Валенсия в/с;вак/кус/кр;;0;0
132;Медовая I`m Happy вс;;;0;0
133;Колбаска тещина в/с;;;0;0
134;К-са Княжеская в/с;Гофрокороб;;0;0
135;К-са с/к Соната в/с;;;0;0
136;Балт нов в/с с/в;Вак.Уп/Кор;;0;0
137;Балт нов в/с с/в;С/н м/а/ко;90;0;0
138;Балт нов в/с с/в;вак/кус/кр;;0;0
139;К-са Деревенская с/в;Гофрокороб;;0;0
140;Валенсия СМ;С/н м/а/ко;90;0;0
141;Альпийская в/с;Вак.Уп/Кор;;0;0
142;К-са Еврейская;Вак.Уп/Кор;;0;0
143;К-са Княжица с/в;Вак.Уп/Кор;;0;0
144;К-са Княжица с/в;С/н м/а/ко;90;0;0
145;Княжица с брусникой;Вак.Уп/Кор;;0;0
146;Княжица можжевельн;Вак.Уп/Кор;;0;0
147;К-са Ривьера в/с;Вак.Уп/Кор;180;0;0
148;Пр-т с/к Фемино;Короба;;0;0
149;Пр-т с/к Фемино;Вак.Уп/Кор;;0;0
150;Пр-т с/к Миланский;Вак/порцКо;;0;0
151;Пр-т с/к Миланский;С/н м/а/ко;90;0;0
152;Пр-т с/к Испанский;Вак/порцКо;;0;0
